,year,title,published_at,category,nominee,artist,workers,winner
3422,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Reggae Recording,Babylon The Bandit,Steel Pulse,,True
3423,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Recording For Children,The Alphabet,(The Sesame Street Muppets),,True
3424,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Comedy Recording,"Those Of You With Or Without Children, You'll Understand",Bill Cosby,,True
3425,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Spoken Word Or Non-Musical Recording,Interviews From The Class Of '55 Recording Sessions,"Johnny Cash, Carl Perkins, Jerry Lee Lewis, Roy Orbison, Sam Phillips, Rick Nelson & Chips Moman",,True
3426,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Musical Cast Show Album,Follies In Concert,,"Thomas Z. Shepard, producer (Original 1986 Cast)",True
3427,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Instrumental Composition,Out Of Africa,,"John Barry, composer (John Barry)",True
3428,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Music Video, Short Form",Dire Straits - Brothers In Arms,Dire Straits,,True
3429,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Music Video, Long Form",Bring On The Night,Sting,"Michael Apted, video director; Sting, video producer",True
3430,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Arrangement On An Instrumental,Suite Memories,,"Pat Williams, arranger (Bill Watrous & Patrick Williams)",True
3431,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Instrumental Arrangement Accompanying Vocals,Somewhere,,"David Foster, arranger (Barbra Streisand)",True
3432,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Album Package,Tutu,,"Eiko Ishioka, art director (Miles Davis)",True
3433,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Album Notes,The Voice - The Columbia Years 1943-1952,,"Frank Conroy, Gary Giddins, Stephen Holden, Murray Kempton, Andrew Sarris, Jonathan Schwartz & Wilfrid Sheed, album notes writers (Frank Sinatra)",True
3434,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Historical Album,"Atlantic Rhythm And Blues 1947-1974, Vols. 1-7",,"(Brook Benton, Ray Charles, The Coasters, The Drifters, Roberta Flack, Aretha Franklin, Otis Redding & Others)",True
3435,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Engineered Recording - Non-Classical,Back In The High Life,,"Jason Corsaro & Tom Lord-Alge, engineers (Steve Winwood)",True
3436,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Producer Of The Year (Non-Classical),Jimmy Jam & Terry Lewis,,,True
3437,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Classical Album,"Horowitz - The Studio Recordings, New York 1985",,"Vladimir Horowitz, artist; Thomas Frost, producer",True
3438,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Classical Orchestral Recording,Liszt: A Faust Symphony,,"Georg Solti, conductor (Chicago Symphony Orchestra)",True
3439,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Opera Recording,Bernstein: Candide,,"James Billings, Joyce Castle, Maris Clement, David Eisler, Jack Harrold, John Lankston, Erie Mills & Scott Reeve; John Mauceri, conductor; Elizabeth Ostrow, producer (New York City Opera Orchestra)",True
3440,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Choral Performance (Other Than Opera),Orff: Carmina Burana,,"James Levine, conductor (Chicago Symphony Chorus; Chicago Symphony Orchestra)",True
3441,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz - The Studio Recordings, New York 1985",,,True
3442,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Chamber Music Performance,Beethoven: Cello And Piano Sonata No. 4 In C & Variations,,"Emanuel Ax & Yo-Yo Ma, artists",True
3443,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Classical Vocal Soloist Performance,Mozart: Kathleen Battle Sings Mozart,,(Andre Previn; Royal Philharmonic Orchestra),True
3444,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Contemporary Composition,Lutoslawski: Symphony No. 3,,"Witold Lutoslawski, composer",True
3445,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Engineered Recording, Classical","Horowitz - The Studio Recordings, New York 1985",,"Paul Goodman, engineer (Vladimir Horowitz, piano)",True
3446,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Classical Producer Of The Year,Thomas Frost,,,True
3447,1985,28th Annual GRAMMY Awards  (1985),2017-11-28 00:03:45-08:00,Record Of The Year,We Are The World,USA For Africa (Various Artists),"Quincy Jones, producer",True
3448,1985,28th Annual GRAMMY Awards  (1985),2017-11-28 00:03:45-08:00,Album Of The Year,No Jacket Required,Phil Collins,"Phil Collins & Hugh Padgham, producers",True
